,title,description
5378,La scala a chiocciola,"In 1916, a shadowy serial killer is targeting women with ""afflictions""; one night during a thunderstorm, the mute Helen feels menaced."
5414,Valley of the Zombies,Dr. Maynard (Charles Trowbridge') tells Dr. Terry Evans (
5574,Il segreto del castello,"Following her father's death, a British teen-aged heiress goes to live with her guardian uncle who is broke and scheming to murder his niece for her vast inheritance."
5700,Things Happen at Night,A young girl finds herself possessed by the spirit of a mischievous demon.
5737,Il cervello di Frankenstein,"Two hapless freight handlers find themselves encountering Dracula, the Frankenstein Monster and the Wolf Man."
5794,The Creeper,"A man is turned into a ""catlike"" killer by means of a serum invented by a crazed scientist."
5800,Daughter of Darkness,"Emily, a pretty young Irish girl, gets a job on an English farm owned by the Tallent family. The local men take to her but the women don't, objecting to her flirtatious nature with their ..."
5825,The Feathered Serpent,"Charlie Chan and his two eldest sons, investigate a murderous gang who is forcing an archaeologist to search for a treasure in Mexico."
5843,The Greed of William Hart,"A story of body snatchers in Edinburgh, based on Burke and Hare."
5857,House of Darkness,A young man visiting a house that turns out to be haunted is terrorized by the ghost of a man who had been murdered there years before.
5865,Inner Sanctum,A man fleeing the police after having committed a murder hides out in a boarding house in a small town.
5999,The Amazing Mr. X,"On the beach one night, Christine Faber, two years a widow, thinks she hears her late husband Paul calling out of the surf...then meets a tall dark man, Alexis, who seems to know all about ..."
6033,L'isola sconosciuta,"An adventure seeker and his fiancée visit an uncharted island, only to find that it is inhabited by deadly dinosaurs and other creatures ready to attack."
6058,Gianni e Pinotto e l'assassino misterioso,Two employees of a secluded hotel investigate a murder on the premises in which the goofy bellboy is the prime suspect.
6233,Mahal,"A young lawyer is involved with a ghostly woman in his new house, where the builder and his fiancée died shortly after it was built."
6244,Master Minds,"When Sach eats too much sugar, he goes into a trance whereby he's able to predict the future. Slip tries to make some money off of Sach by using him as a fortune teller in a carnival, until..."
6281,La donna di picche,"An elderly countess strikes a bargain with the devil and exchanges her soul for the ability to always win at cards. An army officer, who is also a fanatic about cards, murders her for the ..."
6377,Yotsuya kaidan,"Iemon Tamiya is an impovershed masterless samurai who craves a better life, which he cannot have because of his marriage to Oiwa, who is completely devoted to her husband"
6473,The Dungeon of Harrow,"An evil, sadistic count lives in a waterfront castle with his insane family members. One day the survivor of a shipwreck washes ashore near the castle and finds himself a captive there."
6760,Bride of the Gorilla,"The owner of a plantation in the jungle marries a beautiful woman. Shortly afterward, he is plagued by a strange voodoo curse which transforms him into a gorilla."
6815,Anni perduti,"The world is destroyed in a nuclear holocaust. Only five Americans survive, including a pregnant woman, a neo-Nazi, a black man and a bank clerk."
6866,L'uomo senza volto,A faceless killer who hunts women can only be stopped by a detective with a disturbing past.
6924,L'uomo dal pianeta X,"As a mysterious planet hurls itself toward earth, an enigmatic extraterrestrial scout arrives on a remote Scottish island with unknown intentions."
7018,Il figlio del Dott. Jekyll,"Edward Jekyll, ignorant of how his father had brought forth death and destruction with his experiments, is pursuing a chemist career despite the fact that he has been discharged from school..."
7023,"Alan, il conte nero","Noble-born cad Denis (Stapley) has been tricked into a forced stay at the eerie manor of the Sire de Maletroit (Laughton), an evil madman who can't get over the death of his beloved, twenty..."
7047,La 'cosa' da un altro mondo,Scientists and American Air Force officials fend off a bloodthirsty alien organism while at a remote arctic outpost.
7093,La mandragora,"A scientist creates a beautiful ""perfect woman"", but since she is artificial, she seems soul-less and with no sense of morality, she brings ruin to all around her."
7114,Bela Lugosi e il gorilla di Brooklyn,Two goofy entertainers meet a mad scientist on a jungle island.
7125,Il mistero del castello nero,Man investigates the disappearance of two of his friends who were the guests of a sinister Austrian count.
7204,Ghost Ship,A luxury ship is haunted by the ghosts of a crew that had disappeared off the ship years before.
7294,Mother Riley Meets the Vampire,The mysterious figure known as the Vampire comes to England to complete experiments in his mad bid to gain control of the world. When the radar-controlled Robot which he had ordered shipped...
7424,Il bianco pastore di renne,"A newly wed woman goes to the local shaman to get some help with her lovelife, but instead gets turned into a white reindeer vampire."
7457,Gianni e Pinotto contro il dottor Jekyll,"Two bumbling American cops hunt for the mysterious Mr. Hyde in London, England."
7485,Il risveglio del dinosauro,"A ferocious dinosaur awakened by an Arctic atomic test terrorizes the North Atlantic and, ultimately, New York City."
7544,Il cervello di Donovan,Three scientists unlawfully remove the still living brain of a dead tycoon and experiment with it but the evil brain begins to telepathically control the lead scientist.
7607,La maschera di cera,"An associate burns down a wax museum with the owner inside, but he survives only to become vengeful and murderous."
7618,Destinazione Terra,A spaceship from another world crashes in the Arizona desert and only an amateur stargazer and a schoolteacher suspect alien influence when the local townsfolk begin to act strangely.
7660,Il mostro magnetico,The Office of Scientific Investigation sends A-Men agents to investigate reports of unusual magnetic activity in various communities.
7672,Il labirinto,"A Scotsman abruptly breaks off his engagement to pretty Kitty and moves to his uncle's castle in the Scottish highlands. Kitty and her aunt follow Gerald a few weeks later, and discover he ..."
7674,Mesa of Lost Women,A mad scientist named Arana is creating giant spiders and dwarfs in his lab on Zarpa Mesa in Mexico. He wants to create a master race of superwomen by injecting his female subjects with spider venom.
7686,The Neanderthal Man,"Professor Groves, an expert in prehistoric life, proves his theories with an extract that'll regress a cat to a saber-tooth tiger and man to a Neanderthal."
7706,Il fantasma dello spazio,"An alien being with the power of invisibility lands in Santa Monica. Killing two people who attacked him due to the menacing appearance of his spacesuit, the creature takes it off while ..."
7727,Robot Monster,"The monstrous Ro-Man attempts to annihilate the last family alive on Earth, but finds himself falling for their beautiful daughter."
7741,Morti di paura,"Fleeing a murder charge, a busboy and a nightclub singer wind up on a spooky Caribbean island inherited by a young woman."
